model,space,vat,vpt,vac,vpc,tat,tpt,tac,tpc
KMeans,with_driver,0.020579362143886525,0.1581542931416775,0.001580179460029937,0.46192369447205445,0.019807865397329635,0.1592422502870264,0.0009653997500577524,0.46092613853807884
GMM,with_driver,0.23734254732945,0.40175089838672684,0.0025236655650913466,0.46624359660524506,0.23624325644878702,0.4014925373134328,0.0009657917419005444,0.4621890547263682
KMeans,with_driver_pca,0.02060278996927753,0.15781023013991896,0.0016136351054850593,0.46192369447205445,0.019683224845658587,0.15855338691159587,0.0009922735455693715,0.46092613853807884
GMM,with_driver_pca,0.190928090525087,0.4847465402553712,0.0006874769284841157,0.46318525881183575,0.19053212459774882,0.48473019517795635,-0.0006784308482358848,0.46092613853807884
GMM-tied,with_driver_pca,0.1658280980043421,0.4133725820016821,0.001969687449982949,0.46387338481535284,0.16349818815514086,0.41194029850746267,0.0015823244559576598,0.46092613853807884
KMeans,no_driver,0.019680164649429965,0.15689272880189617,0.002380506157711195,0.46192369447205445,0.018685973031769203,0.1572139303482587,0.0013909316354450893,0.46092613853807884
GMM,no_driver,0.0031344387545631115,0.13124092055967582,0.0010799879855242474,0.4699900604021714,0.003184605752255772,0.13084577114427862,5.199023535589877e-06,0.4719862227324914
