model,feature_space,k,n_init,covariance_type,reg_covar,val_ari,val_purity,val_combined,test_ari,test_purity,test_combined
GMM,with_driver,5,3,full,0.001,0.16302230982722185,0.28377551800596373,0.44679782783318556,0.16100715919475478,0.2819364714887103,0.4429436306834651
GMM,with_driver,5,5,full,0.001,0.16449219669573759,0.28377551800596373,0.44826771470170135,0.16283536815896932,0.2819364714887103,0.44477183964767963
GMM,with_driver,5,10,full,0.001,0.16449219669573759,0.28377551800596373,0.44826771470170135,0.16283536815896932,0.2819364714887103,0.44477183964767963
GMM,with_driver,5,3,tied,1e-06,0.042665202874439555,0.21171343374875756,0.2543786366231971,0.04186670579506834,0.2079219288174512,0.24978863461251954
GMM,with_driver,5,5,tied,1e-06,0.07412939159210771,0.28614572979585595,0.3602751213879637,0.07476968243080337,0.28530424799081516,0.3600739304216185
GMM,with_driver,5,10,tied,1e-06,0.07412939159210771,0.28614572979585595,0.3602751213879637,0.07476968243080337,0.28530424799081516,0.3600739304216185
GMM,with_driver,5,3,tied,1e-05,0.042651564913100654,0.21167520452633992,0.25432676943944055,0.041867623421390776,0.20788365862992728,0.24975128205131805
GMM,with_driver,5,5,tied,1e-05,0.07412939159210771,0.28614572979585595,0.3602751213879637,0.07476968243080337,0.28530424799081516,0.3600739304216185
GMM,with_driver,5,10,tied,1e-05,0.07412939159210771,0.28614572979585595,0.3602751213879637,0.07476968243080337,0.28530424799081516,0.3600739304216185
GMM,with_driver,5,3,tied,0.0001,0.042511839599249236,0.21144582919183424,0.2539576687910835,0.041717257995510446,0.20746268656716418,0.24917994456267462
GMM,with_driver,5,5,tied,0.0001,0.07412939159210771,0.28614572979585595,0.3602751213879637,0.07476968243080337,0.28530424799081516,0.3600739304216185
GMM,with_driver,5,10,tied,0.0001,0.07412939159210771,0.28614572979585595,0.3602751213879637,0.07476968243080337,0.28530424799081516,0.3600739304216185
GMM,with_driver,5,3,tied,0.001,0.05444363383770102,0.23346586130438107,0.2879094951420821,0.05410298606385563,0.22996555683122846,0.2840685428950841
GMM,with_driver,5,5,tied,0.001,0.05444363383770102,0.23346586130438107,0.2879094951420821,0.05410298606385563,0.22996555683122846,0.2840685428950841
GMM,with_driver,5,10,tied,0.001,0.05445134702207917,0.23350409052679869,0.28795543754887787,0.05411587323238072,0.2300420972062763,0.28415797043865704
GMM,with_driver,5,3,diag,1e-06,0.14567758568164124,0.29933481152993346,0.4450123972115747,0.1445100126039717,0.29885189437428245,0.44336190697825417
GMM,with_driver,5,5,diag,1e-06,0.14567758568164124,0.29933481152993346,0.4450123972115747,0.1445100126039717,0.29885189437428245,0.44336190697825417
GMM,with_driver,5,10,diag,1e-06,0.14145666727870698,0.28354614267145806,0.42500280995016504,0.14016759330268813,0.2814772292384233,0.4216448225411114
GMM,with_driver,5,3,diag,1e-05,0.16085266038546125,0.2893952137013533,0.45024787408681455,0.15870161686021217,0.28798316111748945,0.4466847779777016
GMM,with_driver,5,5,diag,1e-05,0.16085266038546125,0.2893952137013533,0.45024787408681455,0.15870161686021217,0.28798316111748945,0.4466847779777016
GMM,with_driver,5,10,diag,1e-05,0.16772164322926494,0.2893952137013533,0.4571168569306182,0.16562471685979704,0.28798316111748945,0.4536078779772865
GMM,with_driver,5,3,diag,0.0001,0.16096472299021738,0.2929505313861916,0.453915254376409,0.16137706190091922,0.29135093761959435,0.45272799952051357
GMM,with_driver,5,5,diag,0.0001,0.16096472299021738,0.2929505313861916,0.453915254376409,0.16137706190091922,0.29135093761959435,0.45272799952051357
GMM,with_driver,5,10,diag,0.0001,0.16096472299021738,0.2929505313861916,0.453915254376409,0.16137706190091922,0.29135093761959435,0.45272799952051357
GMM,with_driver,5,3,diag,0.001,0.1484226253269358,0.2842724978973928,0.43269512322432857,0.14881326956558624,0.28312284730195175,0.43193611686753797
GMM,with_driver,5,5,diag,0.001,0.1484226253269358,0.2842724978973928,0.43269512322432857,0.14881326956558624,0.28312284730195175,0.43193611686753797
GMM,with_driver,5,10,diag,0.001,0.1484226253269358,0.2842724978973928,0.43269512322432857,0.14881326956558624,0.28312284730195175,0.43193611686753797
GMM,with_driver,5,3,spherical,1e-06,0.026396248881404964,0.15257282666870556,0.17896907555011052,0.025129985455899933,0.15120551090700343,0.17633549636290335
GMM,with_driver,5,5,spherical,1e-06,0.026396248881404964,0.15257282666870556,0.17896907555011052,0.025129985455899933,0.15120551090700343,0.17633549636290335
GMM,with_driver,5,10,spherical,1e-06,0.02640156007438176,0.15261105589112317,0.17901261596550494,0.025143357201047396,0.15128205128205127,0.17642540848309868
GMM,with_driver,5,3,spherical,1e-05,0.026403885683408675,0.15257282666870556,0.17897671235211424,0.025153169112747835,0.15128205128205127,0.1764352203947991
GMM,with_driver,5,5,spherical,1e-05,0.026403885683408675,0.15257282666870556,0.17897671235211424,0.025153169112747835,0.15128205128205127,0.1764352203947991
GMM,with_driver,5,10,spherical,1e-05,0.026397055298175355,0.15261105589112317,0.17900811118929852,0.02515806989440656,0.1513203214695752,0.17647839136398175
GMM,with_driver,5,3,spherical,0.0001,0.026389495811552657,0.15253459744628795,0.1789240932578406,0.025167160932558406,0.15124378109452735,0.17641094202708577
GMM,with_driver,5,5,spherical,0.0001,0.026389495811552657,0.15253459744628795,0.1789240932578406,0.025167160932558406,0.15124378109452735,0.17641094202708577
GMM,with_driver,5,10,spherical,0.0001,0.026376364198554953,0.15257282666870556,0.17894919086726052,0.025179559130608157,0.15124378109452735,0.1764233402251355
GMM,with_driver,5,3,spherical,0.001,0.026137536424237825,0.15234345133419985,0.17848098775843768,0.02514572661600399,0.15139686184462303,0.17654258846062704
