cluster,LapNumber,TyreLife,LapTime,Sector1Time,Sector2Time,Sector3Time,MaxSpeed,AvgSpeed
0,32.29873586161011,16.544466622310935,87.56185850521179,26.400418939897982,34.08902705699712,27.0724125083167,306.1357285429142,271.482682782583
1,37.91428571428571,13.685714285714285,76.58237142857143,19.749809523809525,29.98124761904762,26.851314285714285,300.8666666666667,275.59761904761905
2,31.836268241391764,16.179280752809227,88.25333281644966,26.81094789387599,34.41237292095928,27.030012001614377,306.6735348471653,271.18742344102924
3,30.438528557599227,14.830590513068731,88.5939656340755,27.424016940948693,34.82484849951597,26.345100193610843,308.7536302032914,272.5324298160697
4,31.181744879858087,15.537574584744396,88.98419504918562,27.144109498467987,34.40262731817449,27.43745823254314,305.9012256087728,270.686340912756
5,30.949756888168558,14.840626688276608,89.23199189627228,26.516532144786602,34.77270016207455,27.942759589411132,300.64073473797947,267.3658833063209
6,32.04709276057415,15.929030688492684,87.54411361345706,26.75345779028951,34.01241855211483,26.778237271052724,305.40718729364335,271.97788725541307
7,31.78316438959894,14.679374173644778,88.15064940502424,26.53529484354341,34.4333763772587,27.181978184222125,303.474878801234,268.88585279858967
8,31.54008729611762,15.925798300022972,87.90404703652653,26.83996399035148,34.15865759246496,26.905425453710084,304.57305306685043,270.52493969676084
9,32.22350029120559,15.61648223645894,87.29504149679673,26.59185061153174,33.97771833139196,26.725472553873036,303.50305765870706,270.74184624344787
