run_id,run_timestamp,model,split,label_basis,feature_space,clustering_strategy,n_clusters,adjusted_rand_index,cluster_purity,model_params
20260326T101321227049Z,2026-03-26T10:13:21Z,GMM,test,CanonicalTeam,event_compound_zscore_numeric_plus_driver,direct_lap_clustering_trainfit_cov_full,10,0.29045781839034707,0.47761194029850745,"{""covariance_type"": ""full"", ""init_params"": ""kmeans"", ""max_iter"": 300, ""means_init"": null, ""n_components"": 10, ""n_init"": 5, ""precisions_init"": null, ""random_state"": 42, ""reg_covar"": 0.0001, ""tol"": 0.001, ""verbose"": 0, ""verbose_interval"": 10, ""warm_start"": false, ""weights_init"": null}"
20260329T204918795159Z,2026-03-29T20:49:18Z,KMeans,validation,CanonicalTeam,event_compound_zscore_numeric_plus_driver,driver_profile_trainfit_driver_profile_predict,10,0.23196502350529932,0.39590182735683155,"{""algorithm"": ""lloyd"", ""copy_x"": true, ""init"": ""k-means++"", ""max_iter"": 300, ""n_clusters"": 10, ""n_init"": 40, ""random_state"": 42, ""tol"": 0.0001, ""verbose"": 0}"
20260329T204918795159Z,2026-03-29T20:49:18Z,KMeans,test,CanonicalTeam,event_compound_zscore_numeric_plus_driver,driver_profile_trainfit_driver_profile_predict,10,0.23044727070019563,0.3947187141216992,"{""algorithm"": ""lloyd"", ""copy_x"": true, ""init"": ""k-means++"", ""max_iter"": 300, ""n_clusters"": 10, ""n_init"": 40, ""random_state"": 42, ""tol"": 0.0001, ""verbose"": 0}"
20260329T204918795159Z,2026-03-29T20:49:18Z,GMM,validation,CanonicalTeam,event_compound_zscore_numeric_plus_driver,direct_lap_clustering_trainfit_cov_full,10,0.2943359411802839,0.4825674745775671,"{""covariance_type"": ""full"", ""init_params"": ""kmeans"", ""max_iter"": 300, ""means_init"": null, ""n_components"": 10, ""n_init"": 5, ""precisions_init"": null, ""random_state"": 42, ""reg_covar"": 0.0001, ""tol"": 0.001, ""verbose"": 0, ""verbose_interval"": 10, ""warm_start"": false, ""weights_init"": null}"
20260329T204918795159Z,2026-03-29T20:49:18Z,GMM,test,CanonicalTeam,event_compound_zscore_numeric_plus_driver,direct_lap_clustering_trainfit_cov_full,10,0.29045781839034707,0.47761194029850745,"{""covariance_type"": ""full"", ""init_params"": ""kmeans"", ""max_iter"": 300, ""means_init"": null, ""n_components"": 10, ""n_init"": 5, ""precisions_init"": null, ""random_state"": 42, ""reg_covar"": 0.0001, ""tol"": 0.001, ""verbose"": 0, ""verbose_interval"": 10, ""warm_start"": false, ""weights_init"": null}"
20260329T205515019094Z,2026-03-29T20:55:15Z,KMeans,validation,CanonicalTeam,event_compound_zscore_numeric_plus_driver_pca18,driver_profile_trainfit_driver_profile_predict,10,0.24225414371859247,0.4742335040905268,"{""algorithm"": ""lloyd"", ""copy_x"": true, ""init"": ""k-means++"", ""max_iter"": 300, ""n_clusters"": 10, ""n_init"": 40, ""random_state"": 42, ""tol"": 0.0001, ""verbose"": 0}"
20260329T205515019094Z,2026-03-29T20:55:15Z,KMeans,test,CanonicalTeam,event_compound_zscore_numeric_plus_driver_pca18,driver_profile_trainfit_driver_profile_predict,10,0.24512668003743793,0.4737466513585917,"{""algorithm"": ""lloyd"", ""copy_x"": true, ""init"": ""k-means++"", ""max_iter"": 300, ""n_clusters"": 10, ""n_init"": 40, ""random_state"": 42, ""tol"": 0.0001, ""verbose"": 0}"
20260329T205515019094Z,2026-03-29T20:55:15Z,GMM,validation,CanonicalTeam,event_compound_zscore_numeric_plus_driver_pca18,direct_lap_clustering_trainfit_cov_full,10,0.190928090525087,0.4847465402553712,"{""covariance_type"": ""full"", ""init_params"": ""kmeans"", ""max_iter"": 300, ""means_init"": null, ""n_components"": 10, ""n_init"": 5, ""precisions_init"": null, ""random_state"": 42, ""reg_covar"": 0.0001, ""tol"": 0.001, ""verbose"": 0, ""verbose_interval"": 10, ""warm_start"": false, ""weights_init"": null}"
20260329T205515019094Z,2026-03-29T20:55:15Z,GMM,test,CanonicalTeam,event_compound_zscore_numeric_plus_driver_pca18,direct_lap_clustering_trainfit_cov_full,10,0.19053212459774882,0.48473019517795635,"{""covariance_type"": ""full"", ""init_params"": ""kmeans"", ""max_iter"": 300, ""means_init"": null, ""n_components"": 10, ""n_init"": 5, ""precisions_init"": null, ""random_state"": 42, ""reg_covar"": 0.0001, ""tol"": 0.001, ""verbose"": 0, ""verbose_interval"": 10, ""warm_start"": false, ""weights_init"": null}"
20260329T205938455526Z,2026-03-29T20:59:38Z,KMeans,validation,CanonicalTeam,event_compound_zscore_numeric_plus_driver,driver_profile_trainfit_driver_profile_predict,10,0.23196502350529932,0.39590182735683155,"{""algorithm"": ""lloyd"", ""copy_x"": true, ""init"": ""k-means++"", ""max_iter"": 300, ""n_clusters"": 10, ""n_init"": 40, ""random_state"": 42, ""tol"": 0.0001, ""verbose"": 0}"
