cluster,LapNumber,TyreLife,LapTime,Sector1Time,Sector2Time,Sector3Time,MaxSpeed,AvgSpeed
0,31.67524803284297,15.741489907629148,87.62523122647964,26.758349084844337,33.95353412589805,26.913348015737256,304.9465018816285,271.3228311381001
1,32.276160692807316,16.532595621842674,87.4468058696175,26.33845802261246,34.146161895597785,26.962185951407264,306.17536685109457,271.45874428674523
2,31.4647992997374,15.678254345379518,89.0367891709391,27.27402913592597,34.63497098912092,27.12778904589221,305.99562335875953,270.32014088616563
3,31.230337078651687,15.021450459652707,88.64480286006129,26.766904494382022,34.94196373850868,26.93593462717058,306.9453524004086,271.210291113381
4,31.783467741935485,16.264314516129033,88.30495302419355,27.149403024193546,34.11005241935484,27.04549758064516,306.2747983870968,271.49537970430106
5,31.85012410570886,16.14323258869908,88.1839296977661,26.823603518761864,34.36660884800701,26.993717330997224,305.9615272302526,270.69447486251033
6,31.570501474926253,16.45014749262537,88.8669651917404,27.16995162241888,34.72843126843658,26.968582300884957,307.8619469026549,274.28972468043264
7,31.601640838650866,15.842297174111213,88.81126557277423,27.00979307201459,34.38751807961106,27.413954421148585,308.4965056213917,271.2585840170161
8,32.34213557091148,16.247943402435013,87.23822680157947,26.512130799605135,34.053326011846,26.67276999012833,304.65449160908196,271.7069417023144
9,31.508243606998654,15.003028263795423,88.16399680349933,26.44498435397039,34.40951615074024,27.309496298788694,303.8315948855989,268.9478465679677
